"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
2691.01|Lead as Pb - total (lower LOR)|MGL|Milligrams/Litre|Lead total|GFAAS|.005|.05|3|.00001
2691.02|Lead as Pb - total (finer LOR)|MGL|Milligrams/Litre|Lead|ICP-MS|0|0|4|.00001
2691.2|Lead as Pb - total|MGL|Milligrams/Litre|Lead as Pb - total (Milligrams/Litre)||0|0|0|.00001
2692|Lead as Pb - soluble|MGL|Milligrams/Litre|Lead as Pb - soluble (Milligrams/Litre)||0|0|0|.00001
2692.02|Lead as Pb - soluble (finer LOR)|MGL|Milligrams/Litre|Lead Dissolved|ICP-MS|0|0|4|.00001
2694|Lead as Pb - total|UT|Micrograms/Litre|Lead as Pb total (ug/L)||0|0|0|.00001
2695|Lead as Pb - soluble|UT|Micrograms/Litre|Lead as Pb - soluble (Micrograms/Litre)||0|0|0|.00001
2701|Lithium as Li - total|MGL|Milligrams/Litre|Lithium as Li - total (Milligrams/Litre)||0|0|0|.00001
2701.2|Lithium as Li - total|MGL|Milligrams/Litre|Lithium as Li - total (Milligrams/Litre)||0|0|3|.00001
2702|Lithium as Li - soluble|MGL|Milligrams/Litre|Lithium as Li - soluble Mg/L||0|0|0|.00001
2711|Manganese as Mn - total|MGL|Milligrams/Litre|Manganese as Mn - total (Milligrams/Litr||0|0|0|.00001
2711.01|Manganese as Mn - total (lower LOR)|MGL|Milligrams/Litre|Manganese total|ICPAES|.01|20|2|.00001
2711.02|Manganese as Mn - total (finer LOR)|MGL|Milligrams/Litre|Manganese|ICP-MS|0|0|4|.00001
2711.2|Manganese as Mn - total|MGL|Milligrams/Litre|Manganese as Mn - total (Milligrams/Litr||0|0|0|.00001
2712|Manganese as Mn - soluble|MGL|Milligrams/Litre|Manganese as Mn soluble   (mg/L)||0|0|2|.00001
2712.02|Manganese as Mn - soluble (finer LOR)|MGL|Milligrams/Litre|Manganese Dissolved|ICP-MS|0|0|4|.00001
